row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,23
1,NetDwellingsRangeTo,default,23
2,NetDwellingsRangeFrom,default,10
2,NetDwellingsRangeTo,default,10
3,NetDwellingsRangeFrom,default,24
3,NetDwellingsRangeTo,default,24
4,NetDwellingsRangeFrom,default,8
4,NetDwellingsRangeTo,default,8
5,NetDwellingsRangeFrom,default,5
5,NetDwellingsRangeTo,default,5
6,NetDwellingsRangeFrom,default,8
6,NetDwellingsRangeTo,default,8
7,NetDwellingsRangeFrom,default,10
7,NetDwellingsRangeTo,default,10
8,NetDwellingsRangeFrom,default,16
8,NetDwellingsRangeTo,default,16
9,NetDwellingsRangeFrom,default,7
9,NetDwellingsRangeTo,default,7
10,NetDwellingsRangeFrom,default,55
10,NetDwellingsRangeTo,default,55
11,NetDwellingsRangeFrom,default,20
11,NetDwellingsRangeTo,default,20
12,NetDwellingsRangeFrom,default,41
12,NetDwellingsRangeTo,default,41
13,NetDwellingsRangeFrom,default,16
13,NetDwellingsRangeTo,default,16
14,NetDwellingsRangeFrom,default,9
14,NetDwellingsRangeTo,default,9
15,NetDwellingsRangeFrom,default,5
15,NetDwellingsRangeTo,default,5
16,NetDwellingsRangeFrom,default,40
16,NetDwellingsRangeTo,default,40
17,NetDwellingsRangeFrom,default,10
17,NetDwellingsRangeTo,default,10
18,NetDwellingsRangeFrom,default,6
18,NetDwellingsRangeTo,default,6
19,NetDwellingsRangeFrom,default,39
19,NetDwellingsRangeTo,default,39
20,NetDwellingsRangeFrom,default,300
20,NetDwellingsRangeTo,default,300
21,NetDwellingsRangeFrom,default,80
21,NetDwellingsRangeTo,default,80
22,NetDwellingsRangeFrom,default,72
22,NetDwellingsRangeTo,default,72
23,NetDwellingsRangeFrom,default,12
23,NetDwellingsRangeTo,default,12
24,NetDwellingsRangeFrom,default,91
24,NetDwellingsRangeTo,default,91
25,NetDwellingsRangeFrom,default,70
25,NetDwellingsRangeTo,default,70
26,NetDwellingsRangeFrom,default,12
26,NetDwellingsRangeTo,default,12
27,NetDwellingsRangeFrom,default,13
27,NetDwellingsRangeTo,default,13
28,NetDwellingsRangeFrom,default,40
28,NetDwellingsRangeTo,default,40
29,NetDwellingsRangeFrom,default,56
29,NetDwellingsRangeTo,default,56
30,NetDwellingsRangeFrom,default,17
30,NetDwellingsRangeTo,default,17
31,NetDwellingsRangeFrom,default,72
31,NetDwellingsRangeTo,default,72
32,NetDwellingsRangeFrom,default,20
32,NetDwellingsRangeTo,default,20
33,NetDwellingsRangeFrom,default,6
33,NetDwellingsRangeTo,default,6
34,NetDwellingsRangeFrom,default,14
34,NetDwellingsRangeTo,default,14
35,NetDwellingsRangeFrom,default,7
35,NetDwellingsRangeTo,default,7
36,NetDwellingsRangeFrom,default,85
36,NetDwellingsRangeTo,default,85
37,NetDwellingsRangeFrom,default,170
37,NetDwellingsRangeTo,default,170
38,NetDwellingsRangeFrom,default,40
38,NetDwellingsRangeTo,default,40
39,NetDwellingsRangeFrom,default,55
39,NetDwellingsRangeTo,default,55
40,NetDwellingsRangeFrom,default,106
40,NetDwellingsRangeTo,default,106
41,NetDwellingsRangeFrom,default,15
41,NetDwellingsRangeTo,default,15
42,NetDwellingsRangeFrom,default,13
42,NetDwellingsRangeTo,default,13
43,NetDwellingsRangeFrom,default,12
43,NetDwellingsRangeTo,default,12
44,NetDwellingsRangeFrom,default,28
44,NetDwellingsRangeTo,default,28
45,NetDwellingsRangeFrom,default,20
45,NetDwellingsRangeTo,default,20
46,NetDwellingsRangeFrom,default,600
46,NetDwellingsRangeTo,default,600
47,NetDwellingsRangeFrom,default,60
47,NetDwellingsRangeTo,default,60
48,NetDwellingsRangeFrom,default,9
48,NetDwellingsRangeTo,default,9
49,NetDwellingsRangeFrom,default,80
49,NetDwellingsRangeTo,default,80
50,NetDwellingsRangeFrom,default,15
50,NetDwellingsRangeTo,default,15
51,NetDwellingsRangeFrom,default,30
51,NetDwellingsRangeTo,default,30
52,NetDwellingsRangeFrom,default,6
52,NetDwellingsRangeTo,default,6
53,NetDwellingsRangeFrom,default,20
53,NetDwellingsRangeTo,default,20
