row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,126
2,NetDwellingsRangeFrom,default,69
3,NetDwellingsRangeFrom,default,24
4,NetDwellingsRangeFrom,default,22
5,NetDwellingsRangeFrom,default,55
6,NetDwellingsRangeFrom,default,11
7,NetDwellingsRangeFrom,default,10
8,NetDwellingsRangeFrom,default,32
9,NetDwellingsRangeFrom,default,42
10,NetDwellingsRangeFrom,default,63
11,NetDwellingsRangeFrom,default,93
12,NetDwellingsRangeFrom,default,66
13,NetDwellingsRangeFrom,default,14
14,NetDwellingsRangeFrom,default,70
15,NetDwellingsRangeFrom,default,24
16,NetDwellingsRangeFrom,default,429
17,NetDwellingsRangeFrom,default,40
18,NetDwellingsRangeFrom,default,240
19,NetDwellingsRangeFrom,default,750
20,NetDwellingsRangeFrom,default,31
21,NetDwellingsRangeFrom,default,70
22,NetDwellingsRangeFrom,default,19
23,NetDwellingsRangeFrom,default,48
24,NetDwellingsRangeFrom,default,183
25,NetDwellingsRangeFrom,default,40
26,NetDwellingsRangeFrom,default,20
27,NetDwellingsRangeFrom,default,19
28,NetDwellingsRangeFrom,default,28
29,NetDwellingsRangeFrom,default,26
30,NetDwellingsRangeFrom,default,28
31,NetDwellingsRangeFrom,default,9
32,NetDwellingsRangeFrom,default,16
33,NetDwellingsRangeFrom,default,9
34,NetDwellingsRangeFrom,default,8
35,NetDwellingsRangeFrom,default,9
36,NetDwellingsRangeFrom,default,7
37,NetDwellingsRangeFrom,default,8
38,NetDwellingsRangeFrom,default,5
39,NetDwellingsRangeFrom,default,6
40,NetDwellingsRangeFrom,default,9
41,NetDwellingsRangeFrom,default,77
42,NetDwellingsRangeFrom,default,17
43,NetDwellingsRangeFrom,default,56
44,NetDwellingsRangeFrom,default,6
45,NetDwellingsRangeFrom,default,7
46,NetDwellingsRangeFrom,default,8
47,NetDwellingsRangeFrom,default,9
48,NetDwellingsRangeFrom,default,22
49,NetDwellingsRangeFrom,default,11
50,NetDwellingsRangeFrom,default,37
51,NetDwellingsRangeFrom,default,5
52,NetDwellingsRangeFrom,default,5
53,NetDwellingsRangeFrom,default,6
54,NetDwellingsRangeFrom,default,9
