row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,24
2,NetDwellingsRangeFrom,default,20
3,NetDwellingsRangeFrom,default,39
4,NetDwellingsRangeFrom,default,53
5,NetDwellingsRangeFrom,default,20
6,NetDwellingsRangeFrom,default,30
7,NetDwellingsRangeFrom,default,9
8,NetDwellingsRangeFrom,default,10
9,NetDwellingsRangeFrom,default,11
10,NetDwellingsRangeFrom,default,17
11,NetDwellingsRangeFrom,default,17
12,NetDwellingsRangeFrom,default,110
13,NetDwellingsRangeFrom,default,54
14,NetDwellingsRangeFrom,default,13
15,NetDwellingsRangeFrom,default,27
16,NetDwellingsRangeFrom,default,10
17,NetDwellingsRangeFrom,default,29
18,NetDwellingsRangeFrom,default,30
19,NetDwellingsRangeFrom,default,10
20,NetDwellingsRangeFrom,default,19
21,NetDwellingsRangeFrom,default,12
22,NetDwellingsRangeFrom,default,46
23,NetDwellingsRangeFrom,default,53
24,NetDwellingsRangeFrom,default,20
25,NetDwellingsRangeFrom,default,50
26,NetDwellingsRangeFrom,default,4
27,NetDwellingsRangeFrom,default,120
28,NetDwellingsRangeFrom,default,18
29,NetDwellingsRangeFrom,default,18
30,NetDwellingsRangeFrom,default,6
